node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
12139858500,num_2nd_neighbors,,,,,,,,,,0.0,0.0,0.0,
12141095600,betweenness,,,,,,,,,,,,,
12141095600,betweenness_rank,,,,,,,,,,,,,
12141095600,closeness,,,,,,,,,,,,,
12141095600,degree,,,,,,,,1.0,1.0,1.0,,,
12141095600,eigenvector,,,,,,,,,,,,,
12141095600,eigenvector_rank,,,,,,,,,,,,,
12141095600,giant,,,,,,,,0.0,0.0,0.0,,,
12141095600,num_2nd_neighbors,,,,,,,,1.0,0.0,0.0,,,
12143495700,betweenness,,,,,,,,,,,,,
12143495700,betweenness_rank,,,,,,,,,,,,,
12143495700,closeness,,,,,,,,,,,,,
12143495700,degree,,,,,,,,2.0,2.0,2.0,,,
12143495700,eigenvector,,,,,,,,,,,,,
12143495700,eigenvector_rank,,,,,,,,,,,,,
12143495700,giant,,,,,,,,0.0,0.0,0.0,,,
12143495700,num_2nd_neighbors,,,,,,,,0.0,0.0,0.0,,,
12143717500,betweenness,,,,,,,,,,,,,
12143717500,betweenness_rank,,,,,,,,,,,,,
12143717500,closeness,,,,,,,,,,,,,
12143717500,degree,,,,,,,,,,,,1.0,1.0
12143717500,eigenvector,,,,,,,,,,,,,
12143717500,eigenvector_rank,,,,,,,,,,,,,
12143717500,giant,,,,,,,,,,,,0.0,0.0
12143717500,num_2nd_neighbors,,,,,,,,,,,,0.0,0.0
12144463800,betweenness,,,,,,,,,,,,,
12144463800,betweenness_rank,,,,,,,,,,,,,
12144463800,closeness,,,,,,,,,,,,,
12144463800,degree,,,,,,,,2.0,2.0,2.0,,,
12144463800,eigenvector,,,,,,,,,,,,,
12144463800,eigenvector_rank,,,,,,,,,,,,,
12144463800,giant,,,,,,,,0.0,0.0,0.0,,,
12144463800,num_2nd_neighbors,,,,,,,,0.0,0.0,0.0,,,
12239232900,betweenness,,,,,,,,,0.01119101486748546,0.022953341920709875,0.11174943979512508,2.0847014186393155e-06,0.0007269421922415656
12239232900,betweenness_rank,,,,,,,,,91.0,46.0,30.0,287.0,299.0
12239232900,closeness,,,,,,,,,0.09802513464991024,0.17885117493472585,0.08409090909090909,0.08380219129404798,0.08175785651683987
12239232900,degree,2.0,2.0,2.0,,,,,3.0,4.0,4.0,4.0,3.0,3.0
12239232900,eigenvector,,,,,,,,,4.0090453047744716e-05,0.10246185855383376,2.898586139084207e-07,6.133736699934149e-07,1.1862751946809045e-10
12239232900,eigenvector_rank,,,,,,,,,135.0,10.0,362.0,310.0,582.0
12239232900,giant,0.0,0.0,0.0,,,,,0.0,1.0,1.0,1.0,1.0,1.0
12239232900,num_2nd_neighbors,0.0,0.0,0.0,,,,,4.0,8.0,9.0,7.0,4.0,6.0
12239279000,betweenness,,,,,,,,,,,,,
12239279000,betweenness_rank,,,,,,,,,,,,,
12239279000,closeness,,,,,,,,,,,,,
12239279000,degree,,,,,,,,2.0,2.0,2.0,,,
12239279000,eigenvector,,,,,,,,,,,,,
12239279000,eigenvector_rank,,,,,,,,,,,,,
12239279000,giant,,,,,,,,0.0,0.0,0.0,,,
12239279000,num_2nd_neighbors,,,,,,,,0.0,0.0,0.0,,,
12239282100,betweenness,,,,,,,,,,,,,
12239282100,betweenness_rank,,,,,,,,,,,,,
12239282100,closeness,,,,,,,,,,,,,
12239282100,degree,,,,,1.0,1.0,1.0,,,,,,
12239282100,eigenvector,,,,,,,,,,,,,
12239282100,eigenvector_rank,,,,,,,,,,,,,
12239282100,giant,,,,,0.0,0.0,0.0,,,,,,
12239282100,num_2nd_neighbors,,,,,0.0,0.0,0.0,,,,,,
12239345100,betweenness,,,,,,,,,,,,,
12239345100,betweenness_rank,,,,,,,,,,,,,
12239345100,closeness,,,,,,,,,,,,,
12239345100,degree,,,,,,,,2.0,2.0,2.0,,,
12239345100,eigenvector,,,,,,,,,,,,,
12239345100,eigenvector_rank,,,,,,,,,,,,,
